id,year,epi_week,from_date,to_date,state,city,disease,deaths
38,1890,189002,1890-01-05,1890-01-11,NY,NEW YORK,WHOOPING COUGH,7
39,1890,189001,1889-12-29,1890-01-04,IL,CHICAGO,SCARLET FEVER,4
40,1890,189001,1889-12-29,1890-01-04,IL,CHICAGO,DIPHTHERIA,32
41,1890,189001,1889-12-29,1890-01-04,IL,CHICAGO,WHOOPING COUGH,6
42,1890,189002,1890-01-05,1890-01-11,IL,CHICAGO,TYPHOID FEVER,10
43,1890,189002,1890-01-05,1890-01-11,IL,CHICAGO,SCARLET FEVER,5
44,1890,189002,1890-01-05,1890-01-11,IL,CHICAGO,DIPHTHERIA,35
45,1890,189002,1890-01-05,1890-01-11,IL,CHICAGO,WHOOPING COUGH,3
46,1890,189001,1889-12-29,1890-01-04,NY,BROOKLYN,TYPHOID FEVER,4
47,1890,189001,1889-12-29,1890-01-04,NY,BROOKLYN,SCARLET FEVER,2
48,1890,189001,1889-12-29,1890-01-04,NY,BROOKLYN,DIPHTHERIA,28
49,1890,189001,1889-12-29,1890-01-04,NY,BROOKLYN,WHOOPING COUGH,5
50,1890,189002,1890-01-05,1890-01-11,MD,BALTIMORE,TYPHOID FEVER,2
51,1890,189002,1890-01-05,1890-01-11,MD,BALTIMORE,DIPHTHERIA,7
52,1890,189002,1890-01-05,1890-01-11,MD,BALTIMORE,WHOOPING COUGH,2
53,1890,189001,1889-12-29,1890-01-04,MO,ST LOUIS,TYPHOID FEVER,4
54,1890,189001,1889-12-29,1890-01-04,MO,ST LOUIS,DIPHTHERIA,6
55,1890,189002,1890-01-05,1890-01-11,MA,BOSTON,TYPHOID FEVER,4
56,1890,189002,1890-01-05,1890-01-11,MA,BOSTON,SCARLET FEVER,1
57,1890,189002,1890-01-05,1890-01-11,MA,BOSTON,DIPHTHERIA,17
58,1890,189001,1889-12-28,1890-01-03,CA,SAN FRANCISCO,DIPHTHERIA,2
59,1890,189002,1890-01-05,1890-01-11,OH,CINCINNATI,TYPHOID FEVER,2
60,1890,189002,1890-01-05,1890-01-11,OH,CINCINNATI,DIPHTHERIA,10
61,1890,189002,1890-01-05,1890-01-11,OH,CINCINNATI,WHOOPING COUGH,3
62,1890,189001,1889-12-29,1890-01-04,MI,DETROIT,DIPHTHERIA,4
63,1890,189002,1890-01-05,1890-01-11,DC,WASHINGTON,TYPHOID FEVER,5
64,1890,189002,1890-01-05,1890-01-11,DC,WASHINGTON,DIPHTHERIA,4
65,1890,189002,1890-01-05,1890-01-11,DC,WASHINGTON,WHOOPING COUGH,1
66,1890,189001,1889-12-29,1890-01-04,PA,PITTSBURGH,TYPHOID FEVER,4
67,1890,189001,1889-12-29,1890-01-04,PA,PITTSBURGH,SCARLET FEVER,2
68,1890,189001,1889-12-29,1890-01-04,PA,PITTSBURGH,DIPHTHERIA,7
69,1890,189002,1890-01-05,1890-01-11,KY,LOUISVILLE,TYPHOID FEVER,1
70,1890,189002,1890-01-05,1890-01-11,KY,LOUISVILLE,DIPHTHERIA,2
71,1890,189002,1890-01-05,1890-01-11,KY,LOUISVILLE,WHOOPING COUGH,2
72,1890,189002,1890-01-05,1890-01-11,MN,MINNEAPOLIS,TYPHOID FEVER,2
73,1890,189002,1890-01-05,1890-01-11,MN,MINNEAPOLIS,SCARLET FEVER,1
74,1890,189002,1890-01-05,1890-01-11,MN,MINNEAPOLIS,DIPHTHERIA,3
75,1890,189002,1890-01-05,1890-01-11,RI,PROVIDENCE,TYPHOID FEVER,1
76,1890,189002,1890-01-05,1890-01-11,RI,PROVIDENCE,DIPHTHERIA,4
77,1890,189002,1890-01-05,1890-01-11,RI,PROVIDENCE,WHOOPING COUGH,1
78,1890,189002,1890-01-05,1890-01-11,NY,ROCHESTER,DIPHTHERIA,1
79,1890,189002,1890-01-04,1890-01-10,IN,INDIANAPOLIS,DIPHTHERIA,1
80,1890,189002,1890-01-05,1890-01-11,OH,TOLEDO,DIPHTHERIA,7
81,1890,189002,1890-01-05,1890-01-11,OH,TOLEDO,WHOOPING COUGH,1
82,1890,189002,1890-01-05,1890-01-11,MA,FALL RIVER,TYPHOID FEVER,1
83,1890,189002,1890-01-05,1890-01-11,MA,FALL RIVER,WHOOPING COUGH,1
84,1890,189001,1889-12-29,1890-01-04,SC,CHARLESTON,TYPHOID FEVER,2
85,1890,189001,1889-12-29,1890-01-04,NH,MANCHESTER,TYPHOID FEVER,1
86,1890,189001,1889-12-29,1890-01-04,NH,MANCHESTER,WHOOPING COUGH,1
87,1890,189001,1889-12-29,1890-01-04,PA,ALTOONA,DIPHTHERIA,3
88,1890,189002,1890-01-05,1890-01-11,NY,BINGHAMTON,TYPHOID FEVER,2
89,1890,189003,1890-01-12,1890-01-18,NY,NEW YORK,TYPHOID FEVER,2
90,1890,189003,1890-01-12,1890-01-18,NY,NEW YORK,SCARLET FEVER,9
91,1890,189003,1890-01-12,1890-01-18,NY,NEW YORK,DIPHTHERIA,24
92,1890,189003,1890-01-12,1890-01-18,NY,NEW YORK,WHOOPING COUGH,14
93,1890,189003,1890-01-12,1890-01-18,IL,CHICAGO,TYPHOID FEVER,13
94,1890,189003,1890-01-12,1890-01-18,IL,CHICAGO,SCARLET FEVER,5
95,1890,189003,1890-01-12,1890-01-18,IL,CHICAGO,DIPHTHERIA,30
96,1890,189003,1890-01-12,1890-01-18,IL,CHICAGO,WHOOPING COUGH,6
97,1890,189002,1890-01-05,1890-01-11,NY,BROOKLYN,TYPHOID FEVER,5
98,1890,189002,1890-01-05,1890-01-11,NY,BROOKLYN,SCARLET FEVER,1
99,1890,189002,1890-01-05,1890-01-11,NY,BROOKLYN,DIPHTHERIA,31
100,1890,189002,1890-01-05,1890-01-11,NY,BROOKLYN,WHOOPING COUGH,3
101,1890,189003,1890-01-12,1890-01-18,NY,BROOKLYN,TYPHOID FEVER,1
102,1890,189003,1890-01-12,1890-01-18,NY,BROOKLYN,SCARLET FEVER,4
103,1890,189003,1890-01-12,1890-01-18,NY,BROOKLYN,DIPHTHERIA,18
104,1890,189003,1890-01-12,1890-01-18,MD,BALTIMORE,TYPHOID FEVER,3
105,1890,189003,1890-01-12,1890-01-18,MD,BALTIMORE,SCARLET FEVER,1
106,1890,189003,1890-01-12,1890-01-18,MD,BALTIMORE,DIPHTHERIA,5
107,1890,189003,1890-01-12,1890-01-18,MA,BOSTON,TYPHOID FEVER,1
108,1890,189003,1890-01-12,1890-01-18,MA,BOSTON,SCARLET FEVER,1
109,1890,189003,1890-01-12,1890-01-18,MA,BOSTON,DIPHTHERIA,16
110,1890,189002,1890-01-04,1890-01-10,CA,SAN FRANCISCO,SCARLET FEVER,1
111,1890,189002,1890-01-04,1890-01-10,CA,SAN FRANCISCO,DIPHTHERIA,4
112,1890,189003,1890-01-12,1890-01-18,OH,CINCINNATI,TYPHOID FEVER,6
113,1890,189003,1890-01-12,1890-01-18,OH,CINCINNATI,DIPHTHERIA,9
114,1890,189003,1890-01-12,1890-01-18,OH,CINCINNATI,WHOOPING COUGH,3
115,1890,189001,1889-12-29,1890-01-04,LA,NEW ORLEANS,TYPHOID FEVER,2
116,1890,189002,1890-01-05,1890-01-11,LA,NEW ORLEANS,TYPHOID FEVER,2
117,1890,189002,1890-01-05,1890-01-11,LA,NEW ORLEANS,DIPHTHERIA,2
118,1890,189002,1890-01-05,1890-01-11,MI,DETROIT,SCARLET FEVER,1
119,1890,189002,1890-01-05,1890-01-11,MI,DETROIT,DIPHTHERIA,10
120,1890,189003,1890-01-12,1890-01-18,DC,WASHINGTON,TYPHOID FEVER,2
121,1890,189003,1890-01-12,1890-01-18,DC,WASHINGTON,DIPHTHERIA,2
122,1890,189003,1890-01-12,1890-01-18,DC,WASHINGTON,WHOOPING COUGH,2
123,1890,189003,1890-01-12,1890-01-18,MN,MINNEAPOLIS,DIPHTHERIA,2
124,1890,189002,1890-01-05,1890-01-11,MO,KANSAS CITY,TYPHOID FEVER,1
125,1890,189002,1890-01-05,1890-01-11,MO,KANSAS CITY,SCARLET FEVER,1
126,1890,189002,1890-01-05,1890-01-11,MO,KANSAS CITY,WHOOPING COUGH,1
127,1890,189003,1890-01-12,1890-01-18,MO,KANSAS CITY,TYPHOID FEVER,1
128,1890,189003,1890-01-12,1890-01-18,MO,KANSAS CITY,SCARLET FEVER,1
129,1890,189003,1890-01-12,1890-01-18,NY,ROCHESTER,TYPHOID FEVER,1
130,1890,189003,1890-01-12,1890-01-18,NY,ROCHESTER,DIPHTHERIA,1
131,1890,189003,1890-01-12,1890-01-18,RI,PROVIDENCE,TYPHOID FEVER,2
132,1890,189003,1890-01-12,1890-01-18,RI,PROVIDENCE,DIPHTHERIA,7
133,1890,189003,1890-01-12,1890-01-18,RI,PROVIDENCE,WHOOPING COUGH,1
134,1890,189003,1890-01-11,1890-01-17,OH,TOLEDO,TYPHOID FEVER,2
135,1890,189003,1890-01-11,1890-01-17,OH,TOLEDO,SCARLET FEVER,1
136,1890,189003,1890-01-11,1890-01-17,OH,TOLEDO,DIPHTHERIA,7
137,1890,189003,1890-01-12,1890-01-18,MA,FALL RIVER,WHOOPING COUGH,6
138,1890,189003,1890-01-12,1890-01-18,SC,CHARLESTON,TYPHOID FEVER,2
139,1890,189003,1890-01-12,1890-01-18,NY,BINGHAMTON,TYPHOID FEVER,1
140,1890,189002,1890-01-05,1890-01-11,NY,AUBURN,DIPHTHERIA,1
141,1890,189002,1890-01-05,1890-01-11,NY,AUBURN,WHOOPING COUGH,1
142,1890,189003,1890-01-12,1890-01-18,NY,AUBURN,TYPHOID FEVER,1
143,1890,189003,1890-01-12,1890-01-18,NY,AUBURN,DIPHTHERIA,1
144,1890,189003,1890-01-12,1890-01-18,MA,NEWTON,DIPHTHERIA,1
145,1890,189002,1890-01-06,1890-01-12,IL,ROCK ISLAND,DIPHTHERIA,1
146,1890,189004,1890-01-20,1890-01-26,NY,NEW YORK,TYPHOID FEVER,5
147,1890,189004,1890-01-20,1890-01-26,NY,NEW YORK,SCARLET FEVER,10
148,1890,189004,1890-01-20,1890-01-26,NY,NEW YORK,DIPHTHERIA,21
149,1890,189004,1890-01-20,1890-01-26,NY,NEW YORK,WHOOPING COUGH,7
150,1890,189004,1890-01-19,1890-01-25,IL,CHICAGO,TYPHOID FEVER,15
151,1890,189004,1890-01-19,1890-01-25,IL,CHICAGO,SCARLET FEVER,3
152,1890,189004,1890-01-19,1890-01-25,IL,CHICAGO,DIPHTHERIA,24
153,1890,189004,1890-01-19,1890-01-25,IL,CHICAGO,WHOOPING COUGH,7
154,1890,189001,1889-12-29,1890-01-04,PA,PHILADELPHIA,TYPHOID FEVER,24
155,1890,189001,1889-12-29,1890-01-04,PA,PHILADELPHIA,SCARLET FEVER,5
156,1890,189001,1889-12-29,1890-01-04,PA,PHILADELPHIA,DIPHTHERIA,17
157,1890,189001,1889-12-29,1890-01-04,PA,PHILADELPHIA,WHOOPING COUGH,3
158,1890,189003,1890-01-12,1890-01-18,PA,PHILADELPHIA,TYPHOID FEVER,33
159,1890,189003,1890-01-12,1890-01-18,PA,PHILADELPHIA,SCARLET FEVER,1
160,1890,189003,1890-01-12,1890-01-18,PA,PHILADELPHIA,DIPHTHERIA,14
161,1890,189003,1890-01-12,1890-01-18,PA,PHILADELPHIA,WHOOPING COUGH,1
162,1890,189004,1890-01-19,1890-01-25,NY,BROOKLYN,TYPHOID FEVER,2
163,1890,189004,1890-01-19,1890-01-25,NY,BROOKLYN,SCARLET FEVER,4
164,1890,189004,1890-01-19,1890-01-25,NY,BROOKLYN,DIPHTHERIA,23
165,1890,189004,1890-01-19,1890-01-25,NY,BROOKLYN,WHOOPING COUGH,1
166,1890,189004,1890-01-19,1890-01-25,MD,BALTIMORE,TYPHOID FEVER,3
167,1890,189004,1890-01-19,1890-01-25,MD,BALTIMORE,SCARLET FEVER,1
168,1890,189004,1890-01-19,1890-01-25,MD,BALTIMORE,DIPHTHERIA,7
169,1890,189004,1890-01-19,1890-01-25,MD,BALTIMORE,WHOOPING COUGH,2
170,1890,189003,1890-01-12,1890-01-18,MO,ST LOUIS,SCARLET FEVER,3
171,1890,189003,1890-01-12,1890-01-18,MO,ST LOUIS,DIPHTHERIA,3
172,1890,189003,1890-01-12,1890-01-18,MO,ST LOUIS,WHOOPING COUGH,2
173,1890,189004,1890-01-19,1890-01-25,MA,BOSTON,TYPHOID FEVER,2
174,1890,189004,1890-01-19,1890-01-25,MA,BOSTON,DIPHTHERIA,17
175,1890,189004,1890-01-19,1890-01-25,OH,CINCINNATI,TYPHOID FEVER,5
176,1890,189004,1890-01-19,1890-01-25,OH,CINCINNATI,SCARLET FEVER,1
177,1890,189004,1890-01-19,1890-01-25,OH,CINCINNATI,DIPHTHERIA,7
178,1890,189004,1890-01-19,1890-01-25,OH,CINCINNATI,WHOOPING COUGH,3
179,1890,189003,1890-01-12,1890-01-18,LA,NEW ORLEANS,TYPHOID FEVER,3
180,1890,189003,1890-01-12,1890-01-18,LA,NEW ORLEANS,DIPHTHERIA,2
181,1890,189003,1890-01-12,1890-01-18,MI,DETROIT,TYPHOID FEVER,1
182,1890,189003,1890-01-12,1890-01-18,MI,DETROIT,SCARLET FEVER,5
183,1890,189003,1890-01-12,1890-01-18,MI,DETROIT,DIPHTHERIA,4
184,1890,189003,1890-01-12,1890-01-18,PA,PITTSBURGH,TYPHOID FEVER,4
185,1890,189003,1890-01-12,1890-01-18,PA,PITTSBURGH,SCARLET FEVER,1
186,1890,189003,1890-01-12,1890-01-18,PA,PITTSBURGH,DIPHTHERIA,5
187,1890,189004,1890-01-19,1890-01-25,PA,PITTSBURGH,TYPHOID FEVER,5
188,1890,189004,1890-01-19,1890-01-25,PA,PITTSBURGH,DIPHTHERIA,8
189,1890,189004,1890-01-19,1890-01-25,PA,PITTSBURGH,WHOOPING COUGH,2
190,1890,189003,1890-01-12,1890-01-18,KY,LOUISVILLE,TYPHOID FEVER,1
191,1890,189003,1890-01-12,1890-01-18,KY,LOUISVILLE,DIPHTHERIA,3
192,1890,189004,1890-01-19,1890-01-25,MO,KANSAS CITY,TYPHOID FEVER,2
193,1890,189004,1890-01-19,1890-01-25,MO,KANSAS CITY,SCARLET FEVER,1
194,1890,189004,1890-01-19,1890-01-25,MO,KANSAS CITY,DIPHTHERIA,1
195,1890,189004,1890-01-19,1890-01-25,MO,KANSAS CITY,WHOOPING COUGH,2
196,1890,189003,1890-01-11,1890-01-17,CO,DENVER,TYPHOID FEVER,1
197,1890,189003,1890-01-11,1890-01-17,CO,DENVER,DIPHTHERIA,1
198,1890,189003,1890-01-11,1890-01-17,CO,DENVER,WHOOPING COUGH,2
199,1890,189004,1890-01-18,1890-01-24,IN,INDIANAPOLIS,TYPHOID FEVER,1
200,1890,189004,1890-01-19,1890-01-25,RI,PROVIDENCE,DIPHTHERIA,1
201,1890,189003,1890-01-12,1890-01-18,VA,RICHMOND,TYPHOID FEVER,1
202,1890,189004,1890-01-19,1890-01-25,VA,RICHMOND,WHOOPING COUGH,1
203,1890,189004,1890-01-18,1890-01-24,OH,TOLEDO,DIPHTHERIA,4
204,1890,189004,1890-01-19,1890-01-25,MA,FALL RIVER,DIPHTHERIA,1
205,1890,189003,1890-01-11,1890-01-17,TX,GALVESTON,TYPHOID FEVER,1
206,1890,189004,1890-01-19,1890-01-25,NY,AUBURN,DIPHTHERIA,3
207,1890,189004,1890-01-19,1890-01-25,MA,NEWTON,DIPHTHERIA,1
208,1890,189004,1890-01-19,1890-01-25,IA,KEOKUK,TYPHOID FEVER,1
209,1890,189005,1890-01-26,1890-02-01,IL,CHICAGO,TYPHOID FEVER,14
210,1890,189005,1890-01-26,1890-02-01,IL,CHICAGO,SCARLET FEVER,3
211,1890,189005,1890-01-26,1890-02-01,IL,CHICAGO,DIPHTHERIA,17
212,1890,189005,1890-01-26,1890-02-01,IL,CHICAGO,WHOOPING COUGH,6
213,1890,189004,1890-01-19,1890-01-25,PA,PHILADELPHIA,TYPHOID FEVER,20
214,1890,189004,1890-01-19,1890-01-25,PA,PHILADELPHIA,SCARLET FEVER,3
215,1890,189004,1890-01-19,1890-01-25,PA,PHILADELPHIA,DIPHTHERIA,5
216,1890,189004,1890-01-19,1890-01-25,PA,PHILADELPHIA,WHOOPING COUGH,2
217,1890,189005,1890-01-26,1890-02-01,NY,BROOKLYN,TYPHOID FEVER,5
218,1890,189005,1890-01-26,1890-02-01,NY,BROOKLYN,SCARLET FEVER,3
219,1890,189005,1890-01-26,1890-02-01,NY,BROOKLYN,DIPHTHERIA,21
220,1890,189005,1890-01-26,1890-02-01,NY,BROOKLYN,WHOOPING COUGH,2
221,1890,189004,1890-01-19,1890-01-25,MO,ST LOUIS,TYPHOID FEVER,4
222,1890,189004,1890-01-19,1890-01-25,MO,ST LOUIS,SCARLET FEVER,2
223,1890,189004,1890-01-19,1890-01-25,MO,ST LOUIS,DIPHTHERIA,1
224,1890,189005,1890-01-26,1890-02-01,MO,ST LOUIS,TYPHOID FEVER,3
225,1890,189005,1890-01-26,1890-02-01,MO,ST LOUIS,SCARLET FEVER,2
226,1890,189005,1890-01-26,1890-02-01,MA,BOSTON,SCARLET FEVER,2
227,1890,189005,1890-01-26,1890-02-01,MA,BOSTON,DIPHTHERIA,8
228,1890,189005,1890-01-26,1890-02-01,MA,BOSTON,WHOOPING COUGH,1
229,1890,189005,1890-01-26,1890-02-01,OH,CINCINNATI,TYPHOID FEVER,4
230,1890,189005,1890-01-26,1890-02-01,OH,CINCINNATI,SCARLET FEVER,1
231,1890,189005,1890-01-26,1890-02-01,OH,CINCINNATI,DIPHTHERIA,4
232,1890,189005,1890-01-26,1890-02-01,OH,CINCINNATI,WHOOPING COUGH,2
233,1890,189004,1890-01-19,1890-01-25,LA,NEW ORLEANS,DIPHTHERIA,2
234,1890,189005,1890-01-26,1890-02-01,DC,WASHINGTON,TYPHOID FEVER,2
235,1890,189005,1890-01-26,1890-02-01,DC,WASHINGTON,DIPHTHERIA,1
236,1890,189005,1890-01-26,1890-02-01,PA,PITTSBURGH,TYPHOID FEVER,4
237,1890,189005,1890-01-26,1890-02-01,PA,PITTSBURGH,SCARLET FEVER,1
238,1890,189005,1890-01-26,1890-02-01,PA,PITTSBURGH,DIPHTHERIA,1
239,1890,189005,1890-01-26,1890-02-01,PA,PITTSBURGH,WHOOPING COUGH,1
240,1890,189004,1890-01-19,1890-01-25,MN,MINNEAPOLIS,TYPHOID FEVER,2
241,1890,189004,1890-01-19,1890-01-25,MN,MINNEAPOLIS,SCARLET FEVER,2
242,1890,189004,1890-01-19,1890-01-25,MN,MINNEAPOLIS,DIPHTHERIA,4
243,1890,189005,1890-01-26,1890-02-01,RI,PROVIDENCE,TYPHOID FEVER,1
244,1890,189005,1890-01-26,1890-02-01,RI,PROVIDENCE,DIPHTHERIA,3
245,1890,189005,1890-01-26,1890-02-01,RI,PROVIDENCE,WHOOPING COUGH,1
246,1890,189005,1890-01-25,1890-01-31,OH,TOLEDO,DIPHTHERIA,6
247,1890,189005,1890-01-26,1890-02-01,MA,FALL RIVER,TYPHOID FEVER,2
248,1890,189005,1890-01-26,1890-02-01,MA,FALL RIVER,WHOOPING COUGH,1
249,1890,189005,1890-01-26,1890-02-01,TN,NASHVILLE,TYPHOID FEVER,1
250,1890,189005,1890-01-26,1890-02-01,DE,WILMINGTON,TYPHOID FEVER,2
251,1890,189005,1890-01-26,1890-02-01,DE,WILMINGTON,SCARLET FEVER,2
252,1890,189005,1890-01-26,1890-02-01,SC,CHARLESTON,TYPHOID FEVER,1
253,1890,189005,1890-01-26,1890-02-01,SC,CHARLESTON,WHOOPING COUGH,1
254,1890,189005,1890-01-26,1890-02-01,ME,PORTLAND,WHOOPING COUGH,1
255,1890,189005,1890-01-26,1890-02-01,NY,AUBURN,DIPHTHERIA,1
256,1890,189005,1890-01-26,1890-02-01,MA,NEWTON,DIPHTHERIA,1
257,1890,189005,1890-01-26,1890-02-01,NY,NEW YORK,CHICKENPOX,1
258,1890,189005,1890-01-26,1890-02-01,NY,NEW YORK,TYPHOID FEVER,2
259,1890,189005,1890-01-26,1890-02-01,NY,NEW YORK,SCARLET FEVER,13
260,1890,189005,1890-01-26,1890-02-01,NY,NEW YORK,DIPHTHERIA,24
261,1890,189005,1890-01-26,1890-02-01,NY,NEW YORK,WHOOPING COUGH,10
262,1890,189006,1890-02-02,1890-02-08,NY,NEW YORK,TYPHOID FEVER,9
263,1890,189006,1890-02-02,1890-02-08,NY,NEW YORK,SCARLET FEVER,10
264,1890,189006,1890-02-02,1890-02-08,NY,NEW YORK,DIPHTHERIA,34
265,1890,189006,1890-02-02,1890-02-08,NY,NEW YORK,WHOOPING COUGH,12
266,1890,189006,1890-02-02,1890-02-08,IL,CHICAGO,TYPHOID FEVER,35
267,1890,189006,1890-02-02,1890-02-08,IL,CHICAGO,SCARLET FEVER,9
268,1890,189006,1890-02-02,1890-02-08,IL,CHICAGO,DIPHTHERIA,22
269,1890,189006,1890-02-02,1890-02-08,IL,CHICAGO,WHOOPING COUGH,4
270,1890,189005,1890-01-26,1890-02-01,PA,PHILADELPHIA,TYPHOID FEVER,24
271,1890,189005,1890-01-26,1890-02-01,PA,PHILADELPHIA,SCARLET FEVER,1
272,1890,189005,1890-01-26,1890-02-01,PA,PHILADELPHIA,DIPHTHERIA,19
273,1890,189005,1890-01-26,1890-02-01,PA,PHILADELPHIA,WHOOPING COUGH,1
274,1890,189006,1890-02-02,1890-02-08,NY,BROOKLYN,TYPHOID FEVER,1
275,1890,189006,1890-02-02,1890-02-08,NY,BROOKLYN,SCARLET FEVER,4
276,1890,189006,1890-02-02,1890-02-08,NY,BROOKLYN,DIPHTHERIA,23
277,1890,189006,1890-02-02,1890-02-08,NY,BROOKLYN,WHOOPING COUGH,4
278,1890,189006,1890-02-02,1890-02-08,MD,BALTIMORE,TYPHOID FEVER,3
279,1890,189006,1890-02-02,1890-02-08,MD,BALTIMORE,DIPHTHERIA,7
280,1890,189006,1890-02-02,1890-02-08,MD,BALTIMORE,WHOOPING COUGH,2
281,1890,189006,1890-02-02,1890-02-08,MA,BOSTON,TYPHOID FEVER,1
282,1890,189006,1890-02-02,1890-02-08,MA,BOSTON,SCARLET FEVER,1
283,1890,189006,1890-02-02,1890-02-08,MA,BOSTON,DIPHTHERIA,9
284,1890,189006,1890-02-02,1890-02-08,MA,BOSTON,WHOOPING COUGH,1
285,1890,189006,1890-02-02,1890-02-08,OH,CINCINNATI,TYPHOID FEVER,1
286,1890,189006,1890-02-02,1890-02-08,OH,CINCINNATI,DIPHTHERIA,9
287,1890,189006,1890-02-02,1890-02-08,OH,CINCINNATI,WHOOPING COUGH,4
288,1890,189004,1890-01-19,1890-01-25,MI,DETROIT,DIPHTHERIA,11
289,1890,189005,1890-01-26,1890-02-01,MI,DETROIT,SCARLET FEVER,1
290,1890,189005,1890-01-26,1890-02-01,MI,DETROIT,DIPHTHERIA,1
291,1890,189001,1889-12-29,1890-01-04,OH,CLEVELAND,TYPHOID FEVER,3
292,1890,189001,1889-12-29,1890-01-04,OH,CLEVELAND,SCARLET FEVER,2
293,1890,189001,1889-12-29,1890-01-04,OH,CLEVELAND,DIPHTHERIA,4
294,1890,189001,1889-12-29,1890-01-04,OH,CLEVELAND,WHOOPING COUGH,4
295,1890,189005,1890-01-26,1890-02-01,MN,MINNEAPOLIS,TYPHOID FEVER,2
296,1890,189005,1890-01-26,1890-02-01,MN,MINNEAPOLIS,SCARLET FEVER,2
297,1890,189005,1890-01-26,1890-02-01,MN,MINNEAPOLIS,DIPHTHERIA,4
298,1890,189006,1890-02-02,1890-02-08,MN,MINNEAPOLIS,DIPHTHERIA,5
299,1890,189005,1890-01-26,1890-02-01,MO,KANSAS CITY,TYPHOID FEVER,4
300,1890,189005,1890-01-26,1890-02-01,MO,KANSAS CITY,SCARLET FEVER,2
301,1890,189005,1890-01-26,1890-02-01,MO,KANSAS CITY,DIPHTHERIA,2
302,1890,189005,1890-01-26,1890-02-01,MO,KANSAS CITY,WHOOPING COUGH,4
303,1890,189006,1890-02-02,1890-02-08,MO,KANSAS CITY,WHOOPING COUGH,1
304,1890,189006,1890-02-01,1890-02-07,IN,INDIANAPOLIS,SCARLET FEVER,2
305,1890,189006,1890-02-01,1890-02-07,IN,INDIANAPOLIS,DIPHTHERIA,1
